id;code;description;prix;date_creation
1;conglomeration Marketing solutions;Health Future Grocery;76924;2021-03-20
2;Cambridgeshire Accountability XSS;logistical Avon;4659;2021-03-19
3;online SAS;Myanmar;91188;2021-03-20
4;GB Soap Enterprise-wide;morph;37634;2021-03-20
5;Money Market Account China Credit Card Account;Accounts;17906;2021-03-20
6;1080p;Handmade Steel Table Sleek Fresh Cheese;98969;2021-03-19
7;Computer Land;emulation;91017;2021-03-20
8;non-volatile Buckinghamshire;hack SMTP;36719;2021-03-20
9;Beauty;Ball Chair Handmade;5889;2021-03-20
10;violet Corporate;salmon 24/365 metrics;61022;2021-03-20
